id,name,class
train_index_00002,apple,0
train_index_00176,apple,0
train_index_00304,apple,0
train_index_00317,apple,0
train_index_00353,apple,0
train_index_00441,apple,0
train_index_00459,apple,0
train_index_00587,apple,0
train_index_00658,apple,0
train_index_00789,apple,0
train_index_00822,apple,0
train_index_00915,apple,0
train_index_01238,apple,0
train_index_01626,apple,0
train_index_01828,apple,0
train_index_01979,apple,0
train_index_02076,apple,0
train_index_02126,apple,0
train_index_02264,apple,0
train_index_02500,apple,0
train_index_02531,apple,0
train_index_02537,apple,0
train_index_02640,apple,0
train_index_02936,apple,0
train_index_03007,apple,0
train_index_03057,apple,0
train_index_03294,apple,0
train_index_03332,apple,0
train_index_03458,apple,0
train_index_03520,apple,0
train_index_03535,apple,0
train_index_03594,apple,0
train_index_03708,apple,0
train_index_03757,apple,0
train_index_03780,apple,0
train_index_03936,apple,0
train_index_04055,apple,0
train_index_04142,apple,0
train_index_04251,apple,0
train_index_04344,apple,0
train_index_04398,apple,0
train_index_04480,apple,0
train_index_04691,apple,0
train_index_04726,apple,0
train_index_04757,apple,0
train_index_04767,apple,0
train_index_05077,apple,0
train_index_05129,apple,0
train_index_05153,apple,0
train_index_05239,apple,0
train_index_05483,apple,0
train_index_05649,apple,0
train_index_05792,apple,0
train_index_05914,apple,0
train_index_05950,apple,0
train_index_06241,apple,0
train_index_06247,apple,0
train_index_06294,apple,0
train_index_06389,apple,0
train_index_06416,apple,0
train_index_06438,apple,0
train_index_06607,apple,0
train_index_06803,apple,0
train_index_06851,apple,0
train_index_07025,apple,0
train_index_07136,apple,0
train_index_07143,apple,0
train_index_07155,apple,0
train_index_07234,apple,0
train_index_07266,apple,0
train_index_07452,apple,0
train_index_07498,apple,0
train_index_07577,apple,0
train_index_07923,apple,0
train_index_08012,apple,0
train_index_08045,apple,0
train_index_08065,apple,0
train_index_08106,apple,0
train_index_08180,apple,0
train_index_08409,apple,0
train_index_08512,apple,0
train_index_08617,apple,0
train_index_08637,apple,0
train_index_08847,apple,0
train_index_08957,apple,0
train_index_09062,apple,0
train_index_09236,apple,0
train_index_09324,apple,0
train_index_09404,apple,0
train_index_09426,apple,0
train_index_09470,apple,0
train_index_09665,apple,0
train_index_10037,apple,0
train_index_10221,apple,0
train_index_10382,apple,0
train_index_10488,apple,0
train_index_10958,apple,0
train_index_10970,apple,0
train_index_11048,apple,0
train_index_11058,apple,0
train_index_11065,apple,0
train_index_11072,apple,0
train_index_11121,apple,0
train_index_11188,apple,0
train_index_11264,apple,0
train_index_11314,apple,0
train_index_11349,apple,0
train_index_11402,apple,0
train_index_11507,apple,0
train_index_11614,apple,0
train_index_11841,apple,0
train_index_11943,apple,0
train_index_11995,apple,0
train_index_12208,apple,0
train_index_12286,apple,0
train_index_12358,apple,0
train_index_12738,apple,0
train_index_12775,apple,0
train_index_12946,apple,0
train_index_13181,apple,0
train_index_13194,apple,0
train_index_13252,apple,0
train_index_13359,apple,0
train_index_13409,apple,0
train_index_13528,apple,0
train_index_13531,apple,0
train_index_13622,apple,0
train_index_13852,apple,0
train_index_13971,apple,0
train_index_14082,apple,0
train_index_14344,apple,0
train_index_14444,apple,0
train_index_14461,apple,0
train_index_14480,apple,0
train_index_14513,apple,0
train_index_14574,apple,0
train_index_14607,apple,0
train_index_14869,apple,0
